date,sales,volume,final,clear,ssn,time,model_year,model,make
6/12/2017,16055,23681,28881,16033,703-94-6688,5:27 AM,1987,Bronco,Ford
9/11/2017,19636,28497,28598,22719,289-86-7780,2:54 AM,2003,Spyder,Maserati
1/17/2017,19859,16713,29720,33003,778-19-0711,8:22 AM,2006,Envoy XL,GMC
3/22/2017,10247,16053,27811,24873,733-12-0245,7:41 AM,2009,DB9,Aston Martin
6/24/2017,17645,12229,23761,19288,733-40-9833,9:16 AM,1998,Rodeo,Isuzu
10/27/2016,15078,26331,21184,39383,856-15-2889,10:14 PM,2008,Mazda6,Mazda
9/14/2017,14765,26637,29762,20606,507-66-0447,11:02 PM,1972,Mustang,Ford
1/27/2017,18484,18308,27293,12574,116-12-6746,2:03 PM,2012,F250,Ford
4/17/2017,11645,21130,23930,19798,802-22-1454,8:21 PM,2000,Legacy,Subaru
7/19/2017,15247,21908,24773,32477,292-33-1361,4:12 AM,2011,Mazdaspeed 3,Mazda
12/16/2016,19159,17646,20560,31572,198-56-2491,6:23 PM,1999,Escalade,Cadillac
12/10/2016,16877,12157,26492,36225,122-23-9965,8:40 AM,1993,LeSabre,Buick
5/11/2017,11877,20631,27795,19183,565-51-8823,9:56 PM,2001,530,BMW
5/6/2017,14628,19311,25978,22002,681-74-6330,1:30 PM,2006,Aerio,Suzuki
3/11/2017,14576,17089,26597,34273,683-83-0117,9:55 PM,2004,A6,Audi
3/9/2017,16007,10475,24343,30132,570-37-4416,8:46 AM,1999,Crown Victoria,Ford
9/9/2017,18005,11478,28883,23760,168-37-6822,4:53 PM,1998,Navigator,Lincoln
5/22/2017,12937,29014,24897,20308,281-66-7793,11:43 AM,2004,Amanti,Kia
3/5/2017,19560,24899,21815,24144,258-81-7252,11:37 AM,1996,Z3,BMW
11/29/2016,10979,14567,22203,18819,263-46-9568,6:10 PM,1984,Thunderbird,Ford
3/31/2017,10155,18242,20018,23120,142-70-7466,10:10 PM,2010,458 Italia,Ferrari
11/16/2016,12024,16403,21282,38924,877-71-6950,1:26 AM,1996,Millenia,Mazda
1/27/2017,15866,11835,26157,12184,131-90-1271,9:26 AM,2005,G6,Pontiac
11/21/2016,13292,13856,26380,19175,450-18-6382,6:28 PM,1987,Escort,Ford
5/17/2017,14995,16997,25280,11869,455-96-1103,2:42 AM,2007,Element,Honda
7/5/2017,18150,22081,28627,29997,824-05-9795,9:04 PM,1995,Achieva,Oldsmobile
1/9/2017,11643,23639,20840,30226,765-29-0948,12:44 PM,2005,LeSabre,Buick
1/23/2017,18833,28414,25602,29443,424-26-0806,3:08 AM,2008,Mazda6,Mazda
4/1/2017,18126,14244,22391,28208,651-76-7600,4:05 PM,2009,Rondo,Kia
6/3/2017,13018,15783,29112,13520,152-57-3442,7:02 PM,2010,Town & Country,Chrysler
1/23/2017,11036,13626,26897,39281,356-40-9772,8:32 AM,2003,Grand Marquis,Mercury
5/26/2017,11742,28335,27756,26826,424-82-8001,1:39 PM,2008,E150,Ford
5/7/2017,13658,29116,21839,28493,279-21-0927,8:51 AM,2006,Esperante,Panoz
9/19/2017,15706,16292,26123,32337,692-03-3481,12:23 AM,2002,Sienna,Toyota
9/27/2017,17176,24381,28266,15423,853-09-1692,1:16 AM,2012,Expedition EL,Ford
4/26/2017,10278,21076,29464,23912,355-93-7170,4:00 AM,1998,Z3,BMW
12/10/2016,19107,27709,24614,17159,290-03-0136,9:24 PM,2004,Windstar,Ford
8/14/2017,18742,10485,22691,37667,191-47-2324,2:57 AM,2009,XLR-V,Cadillac
3/26/2017,13298,26352,28984,16544,190-87-2390,10:08 PM,1995,Grand Marquis,Mercury
5/23/2017,17298,26832,26730,11053,513-26-4325,10:20 PM,2010,9-5,Saab
5/5/2017,15217,22174,21388,13165,396-09-7668,6:57 AM,1992,Rocky,Daihatsu
9/27/2017,12640,19870,20449,12473,249-76-8913,6:41 PM,1991,Tracer,Mercury
10/28/2016,12237,18173,25428,22901,695-47-6763,5:10 PM,2008,Quest,Nissan
9/29/2017,14430,10666,28844,28990,873-46-8328,4:03 AM,1999,Bonneville,Pontiac
3/29/2017,18170,14896,20915,29100,595-73-4634,6:08 AM,2005,Pajero,Mitsubishi
12/4/2016,10113,18223,20847,26007,403-01-2287,4:45 AM,1987,Bonneville,Pontiac
4/7/2017,10189,17121,27715,29167,489-85-4060,3:13 AM,1993,Summit,Eagle
3/10/2017,18668,24836,20007,28351,451-40-7967,7:45 AM,2007,Ram,Dodge
3/4/2017,12111,20114,25683,16268,898-13-8646,11:56 AM,1995,Coachbuilder,Buick
6/16/2017,15090,28966,25310,18411,674-48-9675,4:25 PM,1995,Civic,Honda
8/16/2017,16761,15639,25103,34475,494-24-9061,11:32 PM,1994,Tracker,Geo
2/6/2017,16901,25263,27371,20729,550-39-9485,6:08 PM,2001,Diamante,Mitsubishi
3/7/2017,18765,29335,24281,19716,810-28-3483,5:11 PM,2007,CLK-Class,Mercedes-Benz
7/22/2017,19235,18924,22321,17048,871-99-6361,8:56 AM,1998,Safari,GMC
8/17/2017,11687,16613,23601,32162,130-48-8347,8:31 PM,1995,Quest,Nissan
3/7/2017,18089,20665,24678,11120,277-53-1669,2:39 AM,2007,Silverado,Chevrolet
